,negative,positive
unless,435,113
realized,127,113
field,112,113
x,103,113
gary,91,113
occasionally,87,113
locations,80,113
segment,70,113
marry,70,113
combination,67,113
trilogy,61,113
france,58,113
happiness,37,113
joke,380,112
clothes,165,112
ii,148,112
',120,112
faith,119,112
village,92,112
survive,90,112
anne,88,112
foreign,75,112
losing,69,112
simon,55,112
magical,50,112
legendary,47,112
princess,47,112
9/10,7,112
spoilers,181,111
animal,146,111
finished,136,111
kevin,116,111
cable,107,111
hits,102,111
revealed,100,111
majority,96,111
reach,89,111
center,78,111
welcome,66,111
grow,66,111
howard,62,111
germany,60,111
colors,51,111
wearing,164,110
rape,153,110
filmmaker,136,110
teacher,129,110
fred,103,110
theatrical,81,110
range,80,110
wayne,67,110
touches,54,110
fairy,49,110
surreal,44,110
fabulous,33,110
sensitive,32,110
mistake,215,109
sub,178,109
giant,177,109
100,138,109
ed,130,109
40,123,109
fights,108,109
naturally,107,109
talents,100,109
partner,98,109
devil,94,109
passed,92,109
miles,87,109
classics,80,109
evening,76,109
inner,62,109
sharp,50,109
titanic,48,109
von,36,109
shoot,241,108
bits,133,108
news,128,108
asked,125,108
responsible,116,108
dressed,109,108
whilst,105,108
speed,92,108
rise,91,108
decision,82,108
harris,77,108
recall,71,108
peace,53,108
columbo,52,108
lonely,44,108
reveals,43,108
crafted,32,108
fails,385,107
fell,167,107
humans,150,107
normally,146,107
character's,136,107
bright,122,107
skills,107,107
curious,106,107
reaction,95,107
technology,88,107
proved,87,107
leader,85,107
relatively,72,107
attitude,69,107
presents,65,107
gordon,65,107
treasure,58,107
daughters,26,107
gripping,16,107
describe,157,106
suit,143,106
ill,133,106
we've,115,106
sea,113,106
cage,108,106
v,104,106
cameo,98,106
delivered,96,106
suffering,93,106
singer,87,106
code,87,106
wit,80,106
chosen,78,106
lawyer,71,106
victor,70,106
hall,68,106
chief,63,106
sisters,55,106
focuses,44,106
realizes,41,106
sidney,23,106
delight,17,106
bored,328,105
cops,138,105
kick,104,105
efforts,88,105
shakespeare,72,105
strongly,68,105
closer,63,105
twisted,62,105
rings,50,105
subtitles,38,105
perfection,12,105
avoid,512,104
damn,173,104
anywhere,142,104
hadn't,126,104
spoiler,119,104
pulled,110,104
board,102,104
existence,101,104
formula,99,104
treatment,94,104
killers,78,104
eight,75,104
ford,73,104
depicted,66,104
contemporary,66,104
appropriate,64,104
experiences,62,104
europe,62,104
surprises,60,104
adventures,58,104
variety,50,104
melodrama,49,104
rain,46,104
everyday,30,104
marvelous,24,104
lincoln,16,104
failed,283,103
suppose,193,103
lies,122,103
moon,121,103
whenever,112,103
buddy,98,103
core,91,103
grown,86,103
matt,79,103
appealing,77,103
bringing,73,103
dan,68,103
brown,63,103
provided,62,103
cowboy,50,103
mature,40,103
yeah,259,102
hoping,222,102
holes,195,102
breaks,102,102
anthony,99,102
mission,96,102
ups,95,102
round,84,102
tape,78,102
parker,77,102
witness,62,102
birth,60,102
patrick,57,102
friendly,55,102
demons,55,102
suspenseful,53,102
raw,40,102
chilling,26,102
poignant,25,102
sullivan,18,102
throw,220,101
apparent,139,101
references,94,101
graphic,93,101
canadian,88,101
safe,87,101
author,85,101
president,82,101
test,80,101
roger,69,101
oliver,61,101
ryan,58,101
china,46,101
maria,45,101
deeper,38,101
touched,36,101
musicals,36,101
ship,158,100
instance,124,100
mike,112,100
relief,91,100
caused,90,100
figures,52,100
effectively,50,100
anger,43,100
ned,40,100
tight,39,100
mgm,34,100
trash,301,99
thats,178,99
pacing,126,99
essentially,114,99
p,106,99
robin,100,99
described,96,99
jennifer,94,99
levels,66,99
14,66,99
crowd,65,99
brave,57,99
russell,52,99
court,51,99
donald,47,99
unforgettable,19,99
mouth,166,98
loose,123,98
plots,117,98
concerned,113,98
ran,94,98
70s,85,98
voices,76,98
united,61,98
reveal,59,98
mainstream,59,98
spy,46,98
stays,45,98
grim,37,98
environment,37,98
sleep,155,97
drunk,128,97
gags,121,97
connection,110,97
types,109,97
aged,85,97
halloween,71,97
haunted,66,97
performed,56,97
caine,56,97
sir,50,97
burns,31,97
flawless,6,97
anybody,142,96
standing,114,96
80s,108,96
director's,106,96
national,106,96
overly,104,96
woody,91,96
thomas,86,96
protagonist,79,96
australian,71,96
viewed,67,96
faced,67,96
harsh,63,96
enter,62,96
africa,60,96
frightening,59,96
universe,59,96
initially,51,96
settings,50,96
nowhere,253,95
zero,213,95
creature,149,95
theatre,136,95
jump,134,95
reviewers,119,95
native,91,95
handled,82,95
circumstances,79,95
previously,71,95
plans,70,95
angel,67,95
print,66,95
kinds,60,95
san,59,95
pulls,56,95
depiction,42,95
shines,26,95
exceptional,23,95
brain,293,94
honestly,259,94
teen,163,94
phone,156,94
floor,119,94
l,101,94
hearing,88,94
meanwhile,85,94
obsessed,82,94
remain,69,94
north,66,94
julia,52,94
mexico,50,94
intensity,36,94
manager,33,94
stanwyck,20,94
bank,132,93
treated,131,93
blind,114,93
foot,106,93
site,104,93
built,102,93
commercial,100,93
teenager,85,93
angles,73,93
weeks,70,93
thoughts,60,93
cultural,56,93
sunday,45,93
aunt,31,93
thief,29,93
ensemble,26,93
christian,188,92
thin,185,92
eating,132,92
comparison,104,92
largely,87,92
uk,86,92
initial,79,92
spoil,78,92
naive,75,92
veteran,72,92
prime,63,92
lights,57,92
position,56,92
pet,51,92
rough,50,92
criticism,49,92
con,46,92
wave,44,92
nowadays,39,92
stanley,38,92
studios,33,92
rival,28,92
bloody,143,91
heads,141,91
corny,105,91
sudden,90,91
hopefully,86,91
fool,84,91
hunt,77,91
focused,70,91
combined,64,91
quirky,53,91
helping,51,91
greater,49,91
answers,47,91
brad,44,91
determined,42,91
essential,39,91
carries,37,91
innocence,29,91
gandhi,8,91
painful,239,90
parody,100,90
reviewer,95,90
matters,92,90
pity,91,90
depressing,89,90
till,79,90
vote,77,90
narration,69,90
angle,66,90
sword,65,90
dress,61,90
thankfully,59,90
rights,57,90
fourth,54,90
murphy,49,90
mouse,49,90
timing,48,90
succeeds,46,90
claire,44,90
com,41,90
holmes,27,90
bette,24,90
andrews,16,90
dumb,378,89
soap,134,89
driving,129,89
feet,106,89
send,95,89
model,86,89
market,79,89
teenagers,78,89
universal,60,89
faithful,51,89
bitter,42,89
bugs,42,89
interpretation,42,89
jon,40,89
balance,34,89
pitt,29,89
portrait,23,89
confusing,211,88
exist,128,88
laughter,101,88
bet,98,88
steal,97,88
capable,97,88
vehicle,94,88
liners,82,88
training,74,88
rule,73,88
kim,70,88
edward,69,88
sorts,69,88
recognize,63,88
artists,60,88
irish,60,88
choices,57,88
proud,57,88
notorious,50,88
dennis,50,88
tradition,49,88
complicated,46,88
refuses,44,88
leslie,36,88
reunion,33,88
troubled,24,88
superbly,8,88
porn,218,87
eat,141,87
hopes,137,87
cars,131,87
kinda,123,87
manage,123,87
prove,120,87
calls,116,87
window,112,87
unable,107,87
religion,105,87
program,101,87
psycho,101,87
correct,97,87
hitler,96,87
ancient,95,87
fictional,69,87
mountain,62,87
views,62,87
quest,61,87
california,54,87
seeking,42,87
bettie,34,87
guilt,33,87
packed,31,87
elvira,14,87
felix,3,87
zombies,281,86
vampire,210,86
alien,177,86
grade,171,86
50,145,86
context,125,86
edited,120,86
product,104,86
claim,93,86
covered,85,86
invisible,78,86
section,77,86
source,77,86
starred,68,86
path,64,86
movement,62,86
decades,54,86
reminiscent,52,86
pacino,51,86
shorts,47,86
india,46,86
sexuality,38,86
lily,9,86
supposedly,205,85
rented,195,85
blonde,129,85
superman,125,85
murdered,122,85
awkward,109,85
sheer,107,85
involves,100,85
entertained,96,85
saturday,92,85
sheriff,90,85
service,86,85
hat,80,85
erotic,78,85
conversation,68,85
table,66,85
extras,65,85
afternoon,62,85
sarah,54,85
tales,50,85
format,40,85
lucy,40,85
adapted,38,85
eerie,30,85
italy,28,85
ralph,23,85
they've,125,84
fault,109,84
executed,105,84
theaters,92,84
related,88,84
mask,83,84
fare,80,84
guilty,77,84
granted,74,84
passing,68,84
committed,68,84
praise,59,84
revolution,54,84
father's,50,84
nazi,48,84
tour,45,84
essence,30,84
lovable,28,84
philip,25,84
widmark,23,84
astaire,5,84
matthau,2,84
skip,165,83
desert,111,83
drag,93,83
football,88,83
moore,73,83
critical,58,83
julie,58,83
rachel,53,83
controversial,49,83
authentic,46,83
che,43,83
countries,41,83
albeit,38,83
tear,35,83
aired,35,83
navy,32,83
brooks,29,83
gundam,2,83
badly,434,82
scientist,163,82
saving,150,82
guns,146,82
scream,124,82
hunter,101,82
/,100,82
alex,98,82
flashbacks,97,82
choose,88,82
unfortunate,87,82
tiny,82,82
latest,79,82
offered,78,82
scale,77,82
trapped,75,82
texas,75,82
unlikely,74,82
surface,72,82
amazed,70,82
skill,67,82
seek,65,82
wilson,64,82
arrives,48,82
struggles,45,82
midnight,45,82
provoking,41,82
sides,39,82
oscars,34,82
courage,28,82
flynn,15,82
captivating,14,82
tremendous,13,82
****,139,81
dimensional,123,81
insane,110,81
behavior,104,81
facts,100,81
cost,94,81
shocked,91,81
structure,87,81
display,81,81
changing,73,81
terror,72,81
insight,69,81
criminals,69,81
placed,68,81
facial,67,81
lugosi,66,81
max,66,81
m,65,81
bus,62,81
blown,60,81
honor,53,81
crisis,49,81
pride,44,81
glimpse,44,81
sinister,43,81
greatly,41,81
colorful,36,81
dramas,27,81
fisher,23,81
paulie,1,81
fake,296,80
cuts,141,80
sign,137,80
ass,118,80
exploitation,106,80
keaton,95,80
convinced,94,80
degree,93,80
believed,91,80
explains,78,80
featured,74,80
indie,67,80
encounter,62,80
notable,61,80
breath,56,80
protect,53,80
wins,50,80
pitch,48,80
league,47,80
hitchcock,47,80
challenge,47,80
nine,46,80
madness,39,80
tricks,34,80
worlds,31,80
dentist,22,80
mess,423,79
paid,212,79
disaster,175,79
lacking,149,79
lake,123,79
proper,101,79
danger,94,79
holding,88,79
speaks,78,79
mere,78,79
occasional,76,79
achieve,67,79
spite,65,79
beloved,64,79
learning,57,79
screening,55,79
advantage,53,79
bound,52,79
helen,47,79
warner,46,79
daily,44,79
overcome,43,79
workers,43,79
patient,39,79
develops,38,79
andrew,38,79
tense,37,79
achieved,36,79
sings,34,79
kurt,33,79
dancer,32,79
shy,25,79
davies,20,79
rural,19,79
splendid,17,79
watchable,157,78
excited,114,78
excitement,95,78
target,91,78
factor,88,78
struggling,87,78
serves,84,78
mini,83,78
routine,79,78
cartoons,77,78
beach,76,78
delivery,73,78
department,69,78
larry,66,78
imagery,65,78
closing,60,78
intellectual,60,78
usa,54,78
task,53,78
michelle,53,78
personalities,45,78
covers,36,78
disagree,35,78
thrillers,31,78
depression,28,78
brosnan,11,78
waste,1082,77
sean,124,77
boat,114,77
directly,81,77
technically,78,77
express,78,77
experienced,75,77
significant,71,77
necessarily,66,77
convey,62,77
inspiration,61,77
introduction,59,77
elizabeth,55,77
tracy,54,77
shadow,53,77
nation,48,77
expressions,46,77
noble,41,77
grey,41,77
stylish,40,77
sophisticated,35,77
sentimental,34,77
jake,27,77
achievement,24,77
fears,23,77
boxing,21,77
psychiatrist,20,77
timeless,16,77
chess,13,77
hated,159,76
cares,107,76
hill,99,76
crash,91,76
reputation,77,76
prior,77,76
highlight,76,76
speech,75,76
network,71,76
listening,69,76
multiple,68,76
status,62,76
graphics,61,76
lesser,58,76
foster,57,76
w,52,76
nonetheless,52,76
stranger,51,76
fortunately,51,76
riding,49,76
striking,39,76
charismatic,37,76
endearing,37,76
denzel,36,76
importance,34,76
terrifying,30,76
hooked,29,76
complaint,29,76
inspiring,27,76
blend,22,76
draws,21,76
gentle,18,76
lame,515,75
unbelievable,260,75
unnecessary,176,75
clichés,171,75
deserve,150,75
stock,140,75
flesh,133,75
stopped,114,75
gory,113,75
13,110,75
sell,104,75
costume,90,75
draw,87,75
professor,84,75
deadly,83,75
blow,78,75
k,76,75
productions,72,75
cell,72,75
amazingly,70,75
johnson,69,75
anderson,64,75
via,60,75
clark,54,75
thrilling,51,75
technique,50,75
wealthy,44,75
larger,43,75
wwii,39,75
stood,39,75
sons,36,75
concert,35,75
winter,29,75
cox,29,75
smooth,27,75
consequences,25,75
carol,21,75
ritter,19,75
overlooked,16,75
rip,178,74
produce,111,74
fly,104,74
bear,103,74
talks,99,74
walks,92,74
repeated,85,74
supernatural,77,74
account,72,74
driver,72,74
sun,68,74
fallen,66,74
description,65,74
people's,65,74
understood,60,74
freeman,54,74
ironic,54,74
established,48,74
cynical,45,74
sandler,44,74
hearts,40,74
ourselves,37,74
profound,33,74
sadness,14,74
disappointment,256,73
fail,140,73
advice,133,73
warning,130,73
favor,128,73
steven,108,73
rescue,107,73
hide,92,73
skin,90,73
mistakes,86,73
teens,75,73
buying,74,73
and/or,72,73
jobs,70,73
flight,70,73
alice,68,73
slapstick,65,73
extent,63,73
westerns,62,73
lisa,56,73
bridge,48,73
reed,46,73
1950s,45,73
redemption,43,73
***,42,73
appearances,42,73
strikes,40,73
health,32,73
cried,26,73
pleased,26,73
builds,20,73
darker,17,73
soccer,10,73
lacks,221,72
f,184,72
saved,147,72
frankly,126,72
practically,114,72
lower,107,72
cutting,99,72
nude,88,72
reporter,84,72
everywhere,83,72
dogs,79,72
forth,76,72
enemy,75,72
aka,74,72
sitcom,68,72
wing,65,72
expert,65,72
buck,62,72
spoken,59,72
tongue,58,72
novels,57,72
busy,56,72
ted,56,72
prefer,56,72
enjoying,54,72
spell,48,72
perform,48,72
rogers,43,72
contract,38,72
civil,38,72
bears,36,72
branagh,35,72
spring,31,72
elderly,30,72
karloff,25,72
joey,22,72
ruth,19,72
voight,8,72
antwone,0,72
torture,159,71
nonsense,148,71
cash,107,71
evidence,103,71
bodies,100,71
ruin,95,71
blockbuster,89,71
vietnam,86,71
robot,82,71
gas,82,71
stolen,80,71
stayed,77,71
toy,76,71
jungle,73,71
mexican,68,71
murderer,67,71
punch,66,71
adding,66,71
carrying,65,71
join,63,71
burt,62,71
picks,62,71
fish,62,71
angels,60,71
presentation,59,71
raised,59,71
storytelling,59,71
upper,57,71
happily,54,71
alike,54,71
cook,44,71
jeremy,38,71
gothic,33,71
secretary,31,71
dave,29,71
triumph,27,71
cole,19,71
pleasantly,19,71
perry,19,71
lumet,8,71
disappointing,253,70
ugly,212,70
monsters,132,70
failure,132,70
virtually,105,70
creatures,96,70
designed,93,70
belief,90,70
abandoned,80,70
lifetime,77,70
politics,75,70
regret,70,70
ignore,68,70
frequently,60,70
mass,59,70
17,59,70
glass,58,70
stops,53,70
broke,51,70
shape,51,70
lessons,48,70
gain,47,70
increasingly,43,70
lion,39,70
britain,38,70
imaginative,37,70
techniques,37,70
kudos,29,70
eyre,26,70
tender,14,70
blob,12,70
othello,5,70
edie,0,70
explained,155,69
empty,141,69
wood,126,69
dubbed,115,69
scare,101,69
abuse,83,69
statement,78,69
25,69,69
susan,65,69
flow,62,69
bbc,61,69
carried,57,69
searching,49,69
thumbs,46,69
atmospheric,39,69
ward,36,69
performing,35,69
subsequent,25,69
gradually,22,69
lemmon,8,69
random,214,68
false,91,68
required,88,68
massive,86,68
crying,80,68
regarding,75,68
examples,67,68
interviews,64,68
serve,63,68
prepared,63,68
successfully,63,68
strangely,62,68
trick,58,68
spin,55,68
host,47,68
protagonists,47,68
torn,46,68
trade,46,68
poverty,45,68
revelation,44,68
inevitable,43,68
closely,42,68
racism,41,68
enters,38,68
comfortable,25,68
vivid,18,68
terribly,146,67
fat,144,67
jesus,137,67
here's,130,67
stereotypes,121,67
asian,119,67
dry,109,67
chose,87,67
crude,85,67
worthwhile,76,67
cruel,76,67
drinking,76,67
beast,75,67
children's,75,67
headed,73,67
darkness,71,67
underground,71,67
basis,70,67
entertain,67,67
sleazy,65,67
regard,63,67
vacation,61,67
raise,60,67
wishes,58,67
remind,56,67
factory,54,67
flawed,53,67
checking,53,67
trial,50,67
glory,50,67
neat,47,67
spots,46,67
sutherland,45,67
cooper,43,67
multi,43,67
battles,41,67
tribute,39,67
stunts,39,67
beings,39,67
web,38,67
timothy,36,67
2005,35,67
fashioned,34,67
glover,28,67
craig,27,67
margaret,26,67
danes,19,67
april,15,67
hank,14,67
9/11,11,67
seconds,198,66
absurd,172,66
hanging,113,66
heck,109,66
destroy,104,66
accidentally,95,66
theory,82,66
interview,78,66
titles,72,66
exists,70,66
lie,67,66
guard,66,66
laura,61,66
kiss,60,66
steps,59,66
obsession,52,66
corner,43,66
baker,40,66
colour,39,66
hatred,38,66
neighbor,35,66
accomplished,33,66
emily,33,66
brando,33,66
explore,32,66
affected,28,66
abc,27,66
alexander,21,66
panic,19,66
unfolds,19,66
mildred,6,66
logic,132,65
gratuitous,126,65
promise,104,65
claims,100,65
hired,90,65
wear,90,65
locked,77,65
suffer,71,65
flashback,67,65
expression,67,65
chair,65,65
revolves,62,65
caring,62,65
amongst,62,65
reference,60,65
suspects,58,65
suffered,57,65
jay,57,65
miller,48,65
represents,48,65
shall,47,65
ambitious,41,65
reactions,41,65
noted,40,65
destruction,40,65
investigation,39,65
carefully,34,65
shining,30,65
documentaries,29,65
scrooge,12,65
cgi,191,64
somebody,164,64
sequels,120,64
asking,111,64
arms,75,64
minds,74,64
minded,67,64
rating:,65,64
internet,57,64
suggests,56,64
physically,54,64
irony,52,64
rocks,50,64
concerns,44,64
identify,42,64
progress,39,64
guide,38,64
sacrifice,37,64
realise,37,64
1930s,36,64
carter,35,64
creators,34,64
